characterization_max_d,branch,detection_rank,posthoc_label,cluster
7,with PCA,26,unmatched,1
7,with PCA,27,1fzg,1
7,with PCA,28,1e9r,1
7,with PCA,29,1oao,6
7,with PCA,30,unmatched,1
7,with PCA,31,1avo,0
7,with PCA,32,unmatched,3
7,with PCA,33,1fzg,6
7,with PCA,34,1oao,0
7,with PCA,35,1fzg,5
7,with PCA,36,unmatched,3
7,with PCA,37,1oao,0
7,with PCA,38,unmatched,3
7,with PCA,39,1fzg,0
7,with PCA,40,unmatched,0
7,with PCA,41,1avo,6
7,with PCA,42,1oao,6
7,with PCA,43,1fzg,6
7,with PCA,44,1avo,6
7,with PCA,45,unmatched,0
7,with PCA,46,1e9r,0
7,with PCA,47,1fpy,1
7,with PCA,48,unmatched,1
7,with PCA,49,1avo,6
7,with PCA,50,1oao,0
7,with PCA,51,1fzg,1
9,without PCA,1,unmatched,4
9,without PCA,2,2df7,0
9,without PCA,3,2df7,3
9,without PCA,4,2df7,5
9,without PCA,5,2df7,3
9,without PCA,6,2df7,5
9,without PCA,7,2df7,2
9,without PCA,8,2df7,3
9,without PCA,9,2df7,3
9,without PCA,10,2df7,5
9,without PCA,11,2df7,2
9,without PCA,12,2df7,3
9,without PCA,13,2df7,2
9,without PCA,14,1jz8,3
9,without PCA,15,1jz8,5
9,without PCA,16,1oao,1
9,without PCA,17,unmatched,5
9,without PCA,18,1fpy,1
9,without PCA,19,1e9r,2
9,without PCA,20,unmatched,5
9,without PCA,21,unmatched,5
9,without PCA,22,unmatched,3
9,without PCA,23,unmatched,3
9,without PCA,24,1fpy,2
9,without PCA,25,unmatched,3
9,without PCA,26,unmatched,5
9,without PCA,27,1fzg,5
9,without PCA,28,1e9r,3
9,without PCA,29,1oao,1
9,without PCA,30,unmatched,5
9,without PCA,31,1avo,2
9,without PCA,32,unmatched,3
9,without PCA,33,1fzg,5
9,without PCA,34,1oao,1
9,without PCA,35,1fzg,6
9,without PCA,36,unmatched,3
9,without PCA,37,1oao,1
9,without PCA,38,unmatched,3
9,without PCA,39,1fzg,1
9,without PCA,40,unmatched,2
9,without PCA,41,1avo,1
9,without PCA,42,1oao,5
9,without PCA,43,1fzg,5
9,without PCA,44,1avo,5
9,without PCA,45,unmatched,1
9,without PCA,46,1e9r,1
9,without PCA,47,1fpy,5
9,without PCA,48,unmatched,5
9,without PCA,49,1avo,1
9,without PCA,50,1oao,1
9,without PCA,51,1fzg,5
9,with PCA,1,unmatched,3
9,with PCA,2,2df7,5
9,with PCA,3,2df7,0
9,with PCA,4,2df7,0
9,with PCA,5,2df7,1
9,with PCA,6,2df7,0
9,with PCA,7,2df7,2
9,with PCA,8,2df7,1
9,with PCA,9,2df7,1
9,with PCA,10,2df7,0
9,with PCA,11,2df7,2
9,with PCA,12,2df7,1
9,with PCA,13,2df7,2
9,with PCA,14,1jz8,1
9,with PCA,15,1jz8,0
9,with PCA,16,1oao,6
9,with PCA,17,unmatched,0
9,with PCA,18,1fpy,6
9,with PCA,19,1e9r,2
9,with PCA,20,unmatched,0
9,with PCA,21,unmatched,0
9,with PCA,22,unmatched,1
9,with PCA,23,unmatched,1
9,with PCA,24,1fpy,2
9,with PCA,25,unmatched,1
9,with PCA,26,unmatched,0
9,with PCA,27,1fzg,0
9,with PCA,28,1e9r,1
9,with PCA,29,1oao,6
9,with PCA,30,unmatched,0
9,with PCA,31,1avo,2
9,with PCA,32,unmatched,1
9,with PCA,33,1fzg,0
9,with PCA,34,1oao,6
9,with PCA,35,1fzg,4
9,with PCA,36,unmatched,1
9,with PCA,37,1oao,6
9,with PCA,38,unmatched,1
9,with PCA,39,1fzg,6
9,with PCA,40,unmatched,2
9,with PCA,41,1avo,6
9,with PCA,42,1oao,0
9,with PCA,43,1fzg,0
9,with PCA,44,1avo,0
9,with PCA,45,unmatched,6
9,with PCA,46,1e9r,6
9,with PCA,47,1fpy,0
9,with PCA,48,unmatched,0
9,with PCA,49,1avo,6
9,with PCA,50,1oao,6
9,with PCA,51,1fzg,0
12,without PCA,1,unmatched,2
12,without PCA,2,2df7,5
12,without PCA,3,2df7,0
12,without PCA,4,2df7,0
12,without PCA,5,2df7,6
12,without PCA,6,2df7,0
12,without PCA,7,2df7,1
12,without PCA,8,2df7,0
12,without PCA,9,2df7,0
12,without PCA,10,2df7,0
12,without PCA,11,2df7,6
12,without PCA,12,2df7,0
12,without PCA,13,2df7,6
12,without PCA,14,1jz8,6
12,without PCA,15,1jz8,4
12,without PCA,16,1oao,1
12,without PCA,17,unmatched,0
12,without PCA,18,1fpy,4
12,without PCA,19,1e9r,6
12,without PCA,20,unmatched,0
12,without PCA,21,unmatched,4
12,without PCA,22,unmatched,1
12,without PCA,23,unmatched,1
12,without PCA,24,1fpy,1
12,without PCA,25,unmatched,6
12,without PCA,26,unmatched,0
12,without PCA,27,1fzg,0
12,without PCA,28,1e9r,0
12,without PCA,29,1oao,1
12,without PCA,30,unmatched,4
12,without PCA,31,1avo,1
12,without PCA,32,unmatched,1
12,without PCA,33,1fzg,4
12,without PCA,34,1oao,1
12,without PCA,35,1fzg,3
12,without PCA,36,unmatched,1
12,without PCA,37,1oao,1
12,without PCA,38,unmatched,0
12,without PCA,39,1fzg,1
12,without PCA,40,unmatched,6
12,without PCA,41,1avo,1
12,without PCA,42,1oao,4
12,without PCA,43,1fzg,4
12,without PCA,44,1avo,1
12,without PCA,45,unmatched,1
12,without PCA,46,1e9r,6
12,without PCA,47,1fpy,0
12,without PCA,48,unmatched,4
12,without PCA,49,1avo,1
12,without PCA,50,1oao,4
12,without PCA,51,1fzg,4
12,with PCA,1,unmatched,2
12,with PCA,2,2df7,6
12,with PCA,3,2df7,0
12,with PCA,4,2df7,0
12,with PCA,5,2df7,3
12,with PCA,6,2df7,0
12,with PCA,7,2df7,1
12,with PCA,8,2df7,0
12,with PCA,9,2df7,0
12,with PCA,10,2df7,0
12,with PCA,11,2df7,3
12,with PCA,12,2df7,0
12,with PCA,13,2df7,3
12,with PCA,14,1jz8,3
12,with PCA,15,1jz8,4
12,with PCA,16,1oao,1
12,with PCA,17,unmatched,0
12,with PCA,18,1fpy,4
12,with PCA,19,1e9r,3
12,with PCA,20,unmatched,0
12,with PCA,21,unmatched,4
12,with PCA,22,unmatched,1
12,with PCA,23,unmatched,1
12,with PCA,24,1fpy,1
12,with PCA,25,unmatched,3
12,with PCA,26,unmatched,0
12,with PCA,27,1fzg,0
12,with PCA,28,1e9r,0
12,with PCA,29,1oao,1
12,with PCA,30,unmatched,4
12,with PCA,31,1avo,1
12,with PCA,32,unmatched,1
12,with PCA,33,1fzg,4
12,with PCA,34,1oao,1
12,with PCA,35,1fzg,5
12,with PCA,36,unmatched,1
12,with PCA,37,1oao,1
12,with PCA,38,unmatched,0
12,with PCA,39,1fzg,1
12,with PCA,40,unmatched,3
12,with PCA,41,1avo,1
12,with PCA,42,1oao,4
12,with PCA,43,1fzg,4
12,with PCA,44,1avo,1
12,with PCA,45,unmatched,1
12,with PCA,46,1e9r,3
12,with PCA,47,1fpy,0
12,with PCA,48,unmatched,4
12,with PCA,49,1avo,1
12,with PCA,50,1oao,4
12,with PCA,51,1fzg,4
15,without PCA,1,unmatched,5
15,without PCA,2,2df7,3
15,without PCA,3,2df7,2
15,without PCA,4,2df7,3
15,without PCA,5,2df7,2
15,without PCA,6,2df7,3
15,without PCA,7,2df7,2
15,without PCA,8,2df7,3
15,without PCA,9,2df7,2
15,without PCA,10,2df7,3
15,without PCA,11,2df7,2
15,without PCA,12,2df7,2
15,without PCA,13,2df7,6
15,without PCA,14,1jz8,1
15,without PCA,15,1jz8,0
15,without PCA,16,1oao,0
15,without PCA,17,unmatched,3
15,without PCA,18,1fpy,0
15,without PCA,19,1e9r,1
15,without PCA,20,unmatched,2
15,without PCA,21,unmatched,3
15,without PCA,22,unmatched,2
15,without PCA,23,unmatched,2
15,without PCA,24,1fpy,1
15,without PCA,25,unmatched,2
15,without PCA,26,unmatched,1
15,without PCA,27,1fzg,2
15,without PCA,28,1e9r,2
15,without PCA,29,1oao,0
15,without PCA,30,unmatched,3
15,without PCA,31,1avo,0
15,without PCA,32,unmatched,2
15,without PCA,33,1fzg,0
15,without PCA,34,1oao,0
15,without PCA,35,1fzg,4
15,without PCA,36,unmatched,1
15,without PCA,37,1oao,1
15,without PCA,38,unmatched,2
15,without PCA,39,1fzg,0
15,without PCA,40,unmatched,2
15,without PCA,41,1avo,1
15,without PCA,42,1oao,0
15,without PCA,43,1fzg,3
15,without PCA,44,1avo,0
15,without PCA,45,unmatched,1
15,without PCA,46,1e9r,1
15,without PCA,47,1fpy,1
15,without PCA,48,unmatched,3
15,without PCA,49,1avo,0
15,without PCA,50,1oao,0
15,without PCA,51,1fzg,3
15,with PCA,1,unmatched,2
15,with PCA,2,2df7,6
15,with PCA,3,2df7,0
15,with PCA,4,2df7,6
15,with PCA,5,2df7,0
15,with PCA,6,2df7,6
15,with PCA,7,2df7,0
15,with PCA,8,2df7,6
15,with PCA,9,2df7,0
15,with PCA,10,2df7,6
15,with PCA,11,2df7,0
15,with PCA,12,2df7,0
15,with PCA,13,2df7,5
15,with PCA,14,1jz8,1
15,with PCA,15,1jz8,3
15,with PCA,16,1oao,3
15,with PCA,17,unmatched,6
15,with PCA,18,1fpy,3
15,with PCA,19,1e9r,1
15,with PCA,20,unmatched,0
15,with PCA,21,unmatched,6
15,with PCA,22,unmatched,0
15,with PCA,23,unmatched,0
15,with PCA,24,1fpy,1
15,with PCA,25,unmatched,0
15,with PCA,26,unmatched,1
15,with PCA,27,1fzg,0
15,with PCA,28,1e9r,0
15,with PCA,29,1oao,3
15,with PCA,30,unmatched,6
15,with PCA,31,1avo,3
15,with PCA,32,unmatched,0
15,with PCA,33,1fzg,3
15,with PCA,34,1oao,3
15,with PCA,35,1fzg,4
15,with PCA,36,unmatched,1
15,with PCA,37,1oao,1
15,with PCA,38,unmatched,0
15,with PCA,39,1fzg,3
15,with PCA,40,unmatched,0
15,with PCA,41,1avo,1
15,with PCA,42,1oao,3
15,with PCA,43,1fzg,6
15,with PCA,44,1avo,3
15,with PCA,45,unmatched,1
15,with PCA,46,1e9r,1
15,with PCA,47,1fpy,1
15,with PCA,48,unmatched,6
15,with PCA,49,1avo,3
15,with PCA,50,1oao,3
15,with PCA,51,1fzg,6
