method,threshold,predicted_count,TP,FP,precision,recall,F1,raw_threshold,robust_normalized_threshold
2-component GMM,1.0,1,0,1,0.0,0.0,0.0,419040.78125,43.75152917031944
Otsu on NMS peaks,0.028432797640562057,2,1,1,0.5,0.0196078431372549,0.03773584905660377,11914.501736424281,1.2439783753648408
known-count midpoint (oracle),0.0018870732747018337,51,36,15,0.7058823529411765,0.7058823529411765,0.7058823529411765,790.7606593070523,0.08256234142464751
oracle best F1,0.001887809601612389,51,36,15,0.7058823529411765,0.7058823529411765,0.7058823529411765,791.0692103109068,0.08259455685295357
robust log-GMM,0.0014519724479568478,63,37,26,0.5873015873015873,0.7254901960784313,0.6491228070175439,608.4356689453125,0.06352601491128416
log-Otsu on positive peaks,0.001212818321400699,67,38,29,0.5671641791044776,0.7450980392156863,0.6440677966101696,508.22033691406256,0.05306265616706055
score-curve knee,-0.0008901562541723251,167,39,128,0.23353293413173654,0.7647058823529411,0.3577981651376147,-373.0117721829447,-0.03894569732056277
